X1,y
443.75,2.94E+00
88875,4.16E+01
100000,4.29E+01
110000,4.40E+01
221250,5.20E+01
332500,5.61E+01
443750,5.87E+01
555000,6.05E+01
4.375,0.02072265
88875,106.2913406
77.75,0.360499596
9011111.111,162.0200565
100,0.465697695
4437.5,19.30273099
777.5,3.555064025
22125,63.80753444
2.125,0.009693027
888750,141.3712745
66625,1.37E+02
2088888.889,2.04E+02
443.75,9.58E+00
1000,1.93E+01
8887.5,7.64E+01
1100,2.08E+01
2212.5,3.50E+01
3325,4.59E+01
4437.5,5.45E+01
5550,6.14E+01
10000,3.577385705
666250,125.3606343
11,0.0039971
888750,132.1146278
1000000,134.3748631
88875,33.95709537
4066666.667,153.6207844
66.625,0.023462233
44375,16.44423352
221.25,0.076947565
44.375,0.086614057
666.25,1.295261369
332500,121.9385153
66625,72.35241202
777500,134.7915448
888.75,1.721840197
7.75,0.015025371
66.625,0.131261237
6662.5,11.99943649
2088888.889,141.3188078
1000000,83.61993619
66625,41.17840693
8887.5,6.888639816
5.5,0.003954701
332.5,0.2452315
666.25,0.509788444
88.875,0.06957961
44375,31.26099754
3.25,0.002209573
443750,76.32134733
77.75,0.052158823
777500,93.47036353
44.375,0.028746054
33250,22.88064355
44375,29.69903416
55500,35.74267506
66625,41.05603631
77750,45.71280404
5.5,0.003254961
100000,53.36540455
443750,116.0997616
11000,106.8825531
11,74.76839255
88875,111.1482276
44.375,85.37024226
110000,112.3640252
3325,105.9202374
443.75,99.61498714
6.625,69.72539244
6662.5,106.0749015
3325,44.04182027
4437.5,48.48256082
3077777.778,96.03070022
4.375,0.16343533
88875,78.58762919
1100,25.8050235
7775,56.38213185
8022222.222,97.32924302
55.5,2.103627676
7.75,0.292023689
6662.5,2.851898825
777500,47.68751785
2.125,0.000913543
1100000,49.34458169
22.125,0.009824394
2088888.889,51.91217409
3077777.778,53.75497818
7775,3.317375995
5055555.556,56.49704916
6044444.444,57.37627313
66.625,0.121025753
110000,96.76657344
33250,43.16183715
88.875,0.16114408
1000000,194.3035778
555,1.005004166
66625,70.88230465
6.625,0.012061694
4066666.667,221.3962211
5055555.556,224.7296768
8022222.222,174.1708576
44375,125.3867613
4.375,0.114703793
221250,143.923113
1000,22.86593894
10000,90.55141472
100000,136.6859329
2088888.889,164.2260875
88.875,2.253273093
10,0.260320504
66.625,45.6001898
7033333.333,203.6815237
77.75,45.87928735
332.5,52.26257482
5055555.556,203.1776736
888750,190.8529095
1100,68.74120181
22125,150.8005123
22.125,44.54908171
100000,171.6246576
8022222.222,14.94875539
44375,6.710911745
4.375,0.002635635
221250,9.120413187
1000,0.595393698
10000,3.700683349
100000,8.059323311
2088888.889,13.06345451
88.875,0.0571414
10,0.005914151
10000,52.42948154
100000,130.8908393
3077777.778,183.5466077
555000,169.0259133
1000000,176.3706191
777.5,5.934256804
2.125,0.017111707
7.75,0.06078369
6044444.444,187.4844836
55.5,0.434373118
221250,191.1692917
10000,19.63653357
8.875,0.019031299
5550,11.41217756
2.125,0.004241479
443750,246.5516595
555000,261.0174888
666250,271.2166754
666.25,1.409578649
888750,284.4244256
7775,12.5950325
332.5,0.639354886
22125,26.50457098
2088888.889,69.39537287
777.5,1.501837518
2.125,0.00407385
7.75,0.014896899
777500,62.53107934
77750,42.4817308
22.125,0.043050037
3077777.778,585.2894674
5550,2.484998572
443.75,0.198047497
8.875,0.003838098
888750,371.6403354
44375,19.75684339
3325,1.47601173
1100,0.492970796
11,0.004771885
88875,38.71413008
666.25,3.30E-01
11,5.47E-03
5.5,2.50E-03
6.625,3.07E-03
7.75,3.68E-03
8.875,4.31E-03
2.125,1.19E-03
33.25,1.59E-02
44.375,2.17E-02
55.5,2.75E-02
8022222.222,77.27828135
44375,50.57223409
4.375,0.033846625
221250,57.38786951
1000,7.535098404
10000,40.32756341
100000,53.66920568
2088888.889,71.16466483
88.875,0.677868514
10,0.074479946
4437.5,0.954294466
666.25,0.157614705
66.625,0.016090151
8.875,0.002294543
443750,21.38347284
888.75,0.205763617
9011111.111,36.48446753
77750,9.559534331
5550,1.180549575
3.25,0.00084742
55.5,0.031198647
100000,26.54137178
11000,5.669868575
4437.5,2.442663988
5.5,0.003337901
555,0.314772077
22.125,0.012673076
443750,37.21238568
221.25,0.126203221
7033333.333,45.66673137
443.75,4.62576397
22.125,0.267727355
4066666.667,326.5276313
6662.5,33.81631705
1100,10.16503006
66625,119.5938726
7775,37.22008652
2088888.889,300.1470003
2.125,0.025643465
555000,232.3732909
1100000,273.5601635
5055555.556,993.465531
6044444.444,1055.4956
7775,1.525173324
3325,0.669128422
33.25,0.007011415
888750,213.8671833
777.5,0.148124967
8.875,0.001617353
2.125,0.000374349
1000,0.404830495
11000,4.424571777
77.75,0.030078553
888750,253.0950059
